beta,gamma,rho,distance,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,s_total_rewires,s_rew_inf_ratio,n_draws_attempted
0.18266972658309213,0.13440938210246087,0.3861504341222907,0.7826732133107344,0.5359999999999999,6.720000000000001,0.3548278364843925,8.4,601.4,1.0018656716417913,10000
0.25426769800094434,0.0846712504387206,0.42597502079953076,0.6488884316824478,0.711,10.831999999999997,0.37863678740130774,6.4,521.8,0.9212376933895922,10000
0.21084031577256268,0.07745142616478179,0.4149182121560214,0.6185222329543703,0.736,11.929999999999998,0.3614396227347189,7.0,603.0,0.938858695652174,10000
0.21671513798522932,0.11631166209715077,0.41635300938745357,0.6466438974054214,0.616,7.928,0.3536920269708898,7.4,626.4,1.0016233766233766,10000
0.22257283620595764,0.11531899981041462,0.4196875322490862,0.8601742723252077,0.595,7.590000000000001,0.33011712550872696,6.8,603.8,1.0924369747899159,10000
0.15310325133327443,0.13031861982031945,0.23096171915345975,0.870876120164915,0.5539999999999999,6.684,0.38254978863995803,8.0,368.2,0.6480144404332131,10000
0.31194957962288494,0.08915707571301074,0.5194881962126591,0.8415778485645974,0.714,10.041999999999998,0.36327391605857556,6.2,627.6,1.1554621848739497,10000
0.17847497978640844,0.12310563960147441,0.31145471113795575,0.6330768271611629,0.5700000000000001,7.055,0.38261175608181663,8.0,487.0,0.8526315789473683,10000
0.11632909992284704,0.09755622315555064,0.18744514901935158,0.6971035350705287,0.596,10.127999999999997,0.3916465790187659,10.0,390.4,0.5100671140939598,10000
0.1867764224687908,0.09683891729064731,0.292563881413614,0.4843961618687202,0.651,9.655999999999997,0.3843134717019275,7.2,470.6,0.7941628264208909,10000
0.1860473351808055,0.06557902426101346,0.4439507145716521,0.8908541128919544,0.742,13.946999999999997,0.3954550881126127,8.4,761.2,1.0741239892183287,10000
0.23143364191595556,0.10716427146146884,0.4775232569246699,0.778924867885154,0.625,8.453999999999999,0.3430467621082699,7.8,687.0,1.168,10000
0.2611166326398761,0.09394052615619862,0.4925521468414886,0.7016264806085754,0.7,9.83,0.3743873203232043,7.2,676.4,1.0985714285714288,10000
0.19404597477002578,0.11291275332564561,0.3513650628539422,0.5079766240852697,0.608,7.891999999999999,0.3767644099042341,7.8,511.6,0.924342105263158,10000
0.22473090123798437,0.0819946766738746,0.4007549353078268,0.5050460705409797,0.711,11.894999999999998,0.39663235722868656,7.4,583.0,0.9535864978902954,10000
0.18898393243148556,0.12429613031455046,0.3035567308910343,0.8222198846597878,0.541,6.622,0.35885584992046937,7.6,444.2,0.8632162661737524,10000
0.23052703498123503,0.12626914064814182,0.4617487382855318,0.8449492462948099,0.636,7.518000000000001,0.32671401842661096,7.4,666.8,1.1132075471698113,10000
0.2697822219742816,0.07596962224345183,0.5042774279973418,0.8331483923232259,0.708,11.562,0.3492721098949456,6.6,686.0,1.1045197740112995,10000
0.17656957974407725,0.08805147316709011,0.2998472265934849,0.38357552174587395,0.651,10.373999999999999,0.39260572853496445,7.8,467.0,0.7142857142857142,10000
0.16580502241874043,0.05228679678360306,0.3800213797209169,0.7291850494672503,0.743,16.363999999999997,0.37490516131185103,8.6,671.2,0.8223418573351279,10000
0.147018753812088,0.09416991256662122,0.23435589221296757,0.5823775689513866,0.583,9.245999999999999,0.3908876588568164,8.4,418.0,0.6397941680960548,10000
0.2031195775563623,0.11671701716719415,0.29587579509864137,0.8443754664192643,0.592,7.228,0.37704271215328633,6.6,404.2,0.7888513513513514,10000
0.20960267067450375,0.07255698352639674,0.4142273856348811,0.5647660009664801,0.732,13.128,0.36908111805004223,8.4,664.4,0.9439890710382512,10000
0.10669420671126648,0.10845125306498299,0.25036386817264583,0.9057267076482447,0.496,7.660000000000001,0.32565998504754506,9.4,528.2,0.7641129032258064,10000
0.21358219095601821,0.06689569789273624,0.4677317736593651,0.8751413494517604,0.747,14.423999999999998,0.39915357042256705,8.0,731.0,1.0896921017402945,10000
0.26052412803028346,0.08717077356819979,0.4480169012049162,0.7589695838739423,0.732,10.34,0.36272251542778494,6.2,541.8,1.0,10000
0.11117274355578986,0.07456933869552979,0.21335648545698271,0.6698025853972872,0.622,12.325,0.34911315157739903,10.8,457.0,0.5418006430868167,10000
0.2201656618030979,0.10135485628174479,0.4283405378181182,0.7055446183015466,0.6199999999999999,8.592999999999998,0.3429917274447982,7.2,628.4,1.0774193548387099,10000
0.2511113282715302,0.09000341036834518,0.4329761912066875,0.6599573027354223,0.716,10.297999999999998,0.38742170194224224,6.6,577.4,1.0,10000
0.19049515191311184,0.10960533252981301,0.4191892191741122,0.8541125331128175,0.595,8.248999999999999,0.32553365279428936,10.2,673.4,1.0554621848739496,10000
0.13279233454753556,0.07122247836260105,0.31555489910409773,0.4378748439020825,0.6399999999999999,12.359,0.3710328845662047,10.2,616.6,0.7031250000000001,10000
0.25545274724028316,0.07923487159454218,0.5229468541050335,0.8243329955356132,0.7310000000000001,11.618999999999996,0.37238511367912,7.2,728.0,1.0779753761969904,10000
0.14227445684542933,0.06261803656158907,0.35000896901268547,0.7460955414432662,0.697,14.968,0.3614084934397161,10.0,717.6,0.8479196556671451,10000
0.15648954991202732,0.08068228585061007,0.39268093045997876,0.7749352671823646,0.638,11.563999999999998,0.3377446278781197,10.2,730.0,0.9263322884012539,10000
0.20424453547279275,0.09423317885291883,0.40203371839826946,0.5926355083840856,0.644,9.153999999999998,0.3493308327526905,7.2,614.0,0.9937888198757763,10000
0.15295222113461887,0.11541024207587207,0.32635004656776867,0.7069226775247228,0.558,7.400999999999999,0.3314127020111986,8.4,560.2,0.8691756272401433,10000
0.1892894221979086,0.12446137256139758,0.2645312094610799,0.8803539588409469,0.5870000000000001,7.105000000000001,0.36886172312456833,7.0,364.2,0.6678023850085179,10000
0.30045361960958517,0.10418200902945852,0.5010973949538988,0.793430273305034,0.6900000000000001,8.36,0.36444586852512034,6.4,619.0,1.108695652173913,10000
0.11800597639445307,0.0763645098922741,0.22773721969070976,0.6487118298333524,0.63,12.246999999999996,0.3678406939877753,11.0,464.8,0.5650793650793651,10000
0.1721958755630816,0.10014514841940071,0.27287154741928915,0.57555261485823,0.645,9.235999999999999,0.3999429697482559,7.8,409.4,0.6697674418604651,10000
0.23901662955179806,0.06383024496508467,0.38013902137290495,0.900066245217721,0.8,15.559000000000001,0.39789826288859353,6.8,553.8,0.8225,10000
0.2667023519573212,0.08091394704486855,0.49387588942390137,0.7371354190392574,0.7140000000000001,10.947,0.37348375507030857,6.6,641.2,1.088235294117647,10000
0.22755539437930244,0.11239965610515751,0.4193132673438818,0.65612395699251,0.6119999999999999,7.866,0.35723269786141254,7.0,573.4,0.9918300653594774,10000
0.10742422127950413,0.08347866276523061,0.20185247687351807,0.8450195219906113,0.578,10.450999999999997,0.33520650617032743,11.2,456.0,0.5519031141868512,10000
0.1847634573678411,0.12410878380613653,0.26242714392357364,0.8744557062523519,0.543,6.807,0.3586857462720086,7.4,403.4,0.7145488029465928,10000
0.25281713494869,0.07277911527801968,0.5339402079854647,0.8985012249934627,0.7130000000000001,12.504999999999997,0.3679233475648952,7.2,748.4,1.1809256661991583,10000
0.21389656388956688,0.11755428937689932,0.4191001851710223,0.6537306150098386,0.615,7.498,0.34766772705718,7.6,605.4,1.0276422764227642,10000
0.1648599309536897,0.08293210349050724,0.31077725329242556,0.2248458067460621,0.65,11.138999999999996,0.3810728571497254,8.0,510.8,0.7861538461538462,10000
0.23647550526248248,0.08187671162224187,0.47024818388441797,0.6471714281818837,0.704,11.084999999999997,0.3825955430217487,7.4,683.2,1.028409090909091,10000
0.1473459771348004,0.06782593220250192,0.3527862929708726,0.7954822025953581,0.72,14.323999999999998,0.33411472591813346,10.0,701.0,0.9027777777777778,10000
0.24530308919082403,0.14576369732050126,0.3584288820834214,0.8305242276456851,0.5780000000000001,6.023000000000001,0.3826891496936051,7.0,449.8,0.9048442906574393,10000
0.22451659116236847,0.10758717282093895,0.44823503444742974,0.6835412723439549,0.6399999999999999,8.195999999999998,0.3458340271208574,7.2,633.4,1.0312500000000002,10000
0.24483355658782469,0.08912477203212477,0.4170100793130893,0.6023177738669795,0.709,10.151,0.40220007980397376,6.8,554.0,0.8801128349788435,10000
0.20515957221845282,0.061038275465179155,0.40658441599671935,0.6692082943387144,0.764,14.940999999999999,0.38745649795102566,8.2,626.0,0.9070680628272251,10000
0.22620865824525277,0.12511636769257484,0.45291680824007063,0.8753741534625352,0.5599999999999999,6.786,0.3493696637657803,7.8,655.6,1.155357142857143,10000
0.24803675126260713,0.10123213588787813,0.43114947960096645,0.7284304183451196,0.686,8.993,0.38005897573133174,6.2,545.8,1.0145772594752185,10000
0.21274536245988399,0.09889701195756168,0.38469074120761254,0.4004644088965727,0.643,8.977999999999998,0.39757748524777575,8.0,571.8,0.8989113530326595,10000
0.21127963100351296,0.08262429591501519,0.37790319474770284,0.5614183803358122,0.722,10.845999999999998,0.41362119518734464,7.4,514.6,0.8365650969529085,10000
0.2106280240410443,0.06955423383875073,0.3877566523935057,0.6055804795035924,0.761,13.676999999999998,0.38421231080997015,7.6,596.8,0.8396846254927727,10000
0.23811515678225195,0.07952510913714522,0.38346317458070456,0.7048319154916015,0.716,11.497,0.3884518887316402,6.2,503.4,0.8770949720670391,10000
0.29787542846299025,0.08913505037950196,0.45974360312577156,0.7575281437637734,0.733,9.883,0.3735241675869785,6.2,548.4,0.990450204638472,10000
0.18072046176322926,0.09539768284249778,0.3502242739492135,0.3783688354533277,0.6120000000000001,9.29,0.36579258540420084,8.2,577.6,0.915032679738562,10000
0.16126873279971693,0.08460845723620167,0.410934384122304,0.768608731611463,0.6410000000000001,10.062,0.34862466162570843,9.2,760.8,0.9750390015600623,10000
0.25427762310242663,0.06979745011456685,0.49677299535422714,0.8465809663046454,0.755,13.011999999999997,0.376873420179047,6.6,657.8,1.0887417218543047,10000
0.1730799624184648,0.0728124907025604,0.34031348507077763,0.40043657185130666,0.6900000000000001,12.738,0.4045056131246554,9.2,611.2,0.8188405797101449,10000
0.15806500043342392,0.07255569117319498,0.3482685508177594,0.41270836679531064,0.701,13.172,0.39438555053152236,9.0,625.4,0.8530670470756063,10000
0.20614795433648572,0.0668506249940371,0.36262184509005446,0.7722124408371577,0.778,14.203999999999999,0.38654407028392257,6.8,548.8,0.879177377892031,10000
0.156174343361524,0.08285356235722172,0.26938817998739434,0.3230843334214622,0.658,10.829999999999998,0.36342602847668265,8.2,459.2,0.7112462006079027,10000
0.2268931316037766,0.08914784399329417,0.4042637521630151,0.4750406467617724,0.672,10.472999999999997,0.3794507711812867,7.2,580.4,0.9851190476190477,10000
0.20276750351894615,0.13313144330467533,0.26477791262797007,0.9088893202787578,0.5720000000000001,6.864,0.38223688745587336,7.0,366.2,0.722027972027972,10000
0.1831757316263302,0.10522051055660692,0.25108422413830056,0.7813536431487264,0.651,8.690000000000001,0.40851585115451544,6.8,393.0,0.6635944700460829,10000
0.23785627954370991,0.10373244975072861,0.40899808366352686,0.527109519320742,0.664,8.889,0.3607382115683168,7.0,533.0,0.8810240963855421,10000
0.1858301274815294,0.10951882916841876,0.3274748247374885,0.4570965951718203,0.6020000000000001,8.169,0.3746572060195138,8.0,502.0,0.7940199335548171,10000
0.11373296024664525,0.058984809979900396,0.19439540291522867,0.694809254110808,0.7000000000000001,16.142999999999997,0.37684592987307886,9.8,430.0,0.5471428571428572,10000
0.22975065237074865,0.08840169626474012,0.3590832898576644,0.6722789851089785,0.712,9.979,0.4104479528156409,6.8,467.4,0.7752808988764045,10000
0.16602228365524643,0.09903300874627309,0.36563167443792166,0.43398492396971067,0.619,9.155999999999997,0.35991122436531964,9.0,625.4,0.9192245557350566,10000
0.19231266358541,0.0878759854728954,0.42019345146626175,0.6394452167977764,0.664,9.919999999999998,0.3798890680870125,8.0,696.0,1.1069277108433735,10000
0.18604812770417842,0.14015326608134174,0.3490456120549583,0.9008786754672503,0.52,6.061999999999999,0.33655406653138564,8.0,522.8,0.9596153846153845,10000
0.23922032839176974,0.10351665926246408,0.399609177588418,0.5869882364673016,0.627,8.358,0.35945865672874494,7.0,530.4,0.9393939393939393,10000
0.25460571447121927,0.07367269540901414,0.3455951878226933,0.8796694390212748,0.763,12.788999999999998,0.3663650528053429,6.0,448.4,0.8099606815203145,10000
0.1492431492979374,0.10902528706604539,0.22233665082553866,0.7591060784402252,0.5569999999999999,8.154,0.3623420833774092,9.0,380.0,0.6427289048473968,10000
0.2159374827119495,0.091970913722459,0.29332613191215406,0.6799431606311304,0.696,9.976999999999999,0.38550441069976593,6.8,408.8,0.7126436781609197,10000
0.16571422601067232,0.11607829527221741,0.3370275205394919,0.5068484558969055,0.587,7.723000000000001,0.3653929026079192,8.2,548.6,0.858603066439523,10000
0.17713684323529516,0.07248388356682524,0.36504000025738004,0.485024406327937,0.7020000000000001,13.201999999999998,0.4041166811133238,7.8,597.8,0.9031339031339031,10000
0.17710733380194735,0.06007482885359582,0.38425947825816453,0.6982639505245648,0.758,15.389999999999997,0.3940084584982616,8.4,646.4,0.8720316622691292,10000
0.18401715372459143,0.10928666389555258,0.24873856894038246,0.850268647109864,0.631,8.456,0.3918983037365198,6.6,362.6,0.6513470681458003,10000
0.3173843761029395,0.08045857296394535,0.5160845480090497,0.845295248417292,0.7360000000000001,11.493999999999996,0.3811267820284238,6.0,592.0,1.1019021739130432,10000
0.21895493517970951,0.0920439808083951,0.3996543023579744,0.47089373237888393,0.6719999999999999,9.833999999999998,0.3824236468660366,7.2,583.0,0.930059523809524,10000
0.17093010428804328,0.0883764132621849,0.3555706051550999,0.2867918898102474,0.641,10.545999999999998,0.3832911485296584,8.2,591.0,0.9110764430577224,10000
0.21241851825053043,0.08830949208042098,0.3131691285131595,0.6159376537495993,0.708,10.849,0.38548814901671197,6.8,448.4,0.8135593220338984,10000
0.17778798143633467,0.06353910733240627,0.42026763631578484,0.6958409438047345,0.748,14.084999999999997,0.3927280824652194,8.4,687.4,0.9385026737967915,10000
0.25311181506813535,0.08260287971030578,0.34748232337614327,0.8903674833429951,0.7730000000000001,11.947,0.37323147238781185,6.0,450.8,0.834411384217335,10000
0.26324143344844664,0.08443361540749318,0.4360229172939522,0.6695610148070946,0.71,10.640999999999998,0.3706585615742434,6.4,550.2,0.9943661971830985,10000
0.12997087690376796,0.09973766350186206,0.2178743777326294,0.6051952888747891,0.58,9.136999999999999,0.40137028484119874,9.4,432.2,0.6551724137931035,10000
0.21958901429946473,0.12159400064829215,0.45124189741150655,0.8752428047012347,0.5559999999999999,7.234,0.35179990047964294,8.2,690.4,1.131294964028777,10000
0.2285836676070786,0.07764171730465558,0.48535666382257453,0.6810305830030073,0.683,11.861999999999998,0.3590361667131442,7.8,708.4,1.0878477306002925,10000
0.21075930245616198,0.07997683725866116,0.48446583407045146,0.8650365831968679,0.6910000000000001,11.315,0.37609941589815554,7.8,773.2,1.154848046309696,10000
0.14146644431706604,0.09431987491764593,0.28140605454905093,0.4674808631159652,0.573,9.585999999999999,0.3618528778138673,9.6,554.8,0.7626527050610821,10000
0.23256509426858743,0.09633623134394784,0.5206434535065521,0.8624066776378012,0.6319999999999999,9.087,0.35294857227234777,7.6,736.2,1.204113924050633,10000
0.1659963967719675,0.10223878864910597,0.251756601899322,0.6382725615401865,0.633,8.693999999999999,0.37639862093903764,7.6,393.0,0.5939968404423381,10000
0.20636929934785603,0.10241712550161115,0.489054482528522,0.9043935024610087,0.628,8.876,0.33375128390059217,8.0,765.8,1.0732484076433122,10000
0.22719730666604673,0.0691108966378222,0.4825350954375647,0.9066090712849446,0.764,14.488999999999999,0.40146349292661165,7.8,724.4,1.0680628272251307,10000
0.23157764293824104,0.059376347287818314,0.38774725054305315,0.905990188990307,0.766,14.966999999999999,0.3769707187253934,6.0,513.6,0.8981723237597912,10000
0.11825335557238553,0.06254187319836564,0.30654123566070607,0.7624455036612866,0.661,14.523999999999997,0.3501664462754806,11.0,665.4,0.7231467473524961,10000
0.18016656377524576,0.1143117693847015,0.28942452567905347,0.6869097920790366,0.597,7.991,0.40482444907167736,7.6,420.4,0.7437185929648241,10000
0.1570634265055154,0.07625902695296347,0.3596338541316305,0.44756797641803764,0.659,11.947,0.36436461329566844,8.8,679.8,0.857359635811836,10000
0.12875980995552194,0.10305893440850113,0.2565851084381067,0.7134800567184052,0.539,8.308,0.3378279740796229,9.4,490.4,0.6846011131725417,10000
0.24147352689692642,0.07111578069460762,0.38967663909400196,0.6561369381791238,0.734,13.244999999999996,0.39483516633991284,6.8,530.4,0.927792915531335,10000
0.14189941523680197,0.054394662002521306,0.355716702237337,0.8956922700836835,0.7390000000000001,17.256,0.3704112682716466,10.2,697.0,0.7902571041948578,10000
0.19451625295496983,0.12684710012005684,0.3091819058184414,0.7801762136780599,0.5359999999999999,6.8069999999999995,0.3778145241994342,8.0,441.8,0.7742537313432837,10000
0.22158642691548391,0.0851400131290545,0.27153610063033223,0.797096631730524,0.6980000000000001,10.643999999999998,0.38298395684935627,6.8,353.6,0.634670487106017,10000
0.2564941086948226,0.07823486269224714,0.34258236199465925,0.8826682957513952,0.741,12.352999999999998,0.36812295877392603,5.8,440.4,0.8663967611336033,10000
0.29192865645240346,0.08577678099215853,0.42083248621793246,0.797907732413163,0.7310000000000001,10.226999999999999,0.3779799692415725,6.0,512.2,0.9972640218878248,10000
0.1640151269640336,0.14106635932124945,0.31786601112501733,0.8574000586917558,0.5309999999999999,6.047,0.3292695230626787,8.6,512.8,0.7909604519774012,10000
0.1761171729901998,0.10308027240539536,0.22820402951408525,0.781185071484399,0.631,8.368,0.3794992035716389,7.4,347.0,0.6085578446909666,10000
0.15720113438096486,0.10717880022931246,0.20466940515813922,0.8501904104145565,0.5730000000000001,7.955999999999999,0.35987225945022777,7.6,351.6,0.6055846422338569,10000
0.2128531540632498,0.06553424013851435,0.3261875353618782,0.7680029922051074,0.75,13.873999999999999,0.3960337626511666,6.6,462.4,0.752,10000
0.1852902911106264,0.11082927101941861,0.34229622941657384,0.7075045786665299,0.5469999999999999,7.628,0.3426523612028519,8.0,541.4,0.9195612431444241,10000
0.15634741498879878,0.06370203674390935,0.3861631754101512,0.6772147657462096,0.723,15.262,0.3858530054661514,9.0,688.6,0.9031811894882434,10000
0.23250691499214998,0.09210553443865915,0.4737482333990949,0.7103368259615561,0.701,10.473999999999998,0.3508261326704435,7.4,699.6,1.0228245363766049,10000
0.11936378390503256,0.09260777931019007,0.1858637032002169,0.7447153393890857,0.601,10.005999999999998,0.3674829376680355,10.4,385.4,0.4941763727121465,10000
0.21221542731083348,0.09709162192582294,0.30009905982497653,0.7637595493960397,0.7070000000000001,9.446000000000002,0.37935882304119684,6.4,412.2,0.7708628005657708,10000
0.19196913314024924,0.08791672638606833,0.3133566681646196,0.43611419337617346,0.6950000000000001,10.626999999999999,0.3928188337915361,7.4,493.2,0.7741007194244603,10000
